Provincia;Distrito;Partido;Formula;votos
CABA;Comuna10;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;563
CABA;Comuna10;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;618
CABA;Comuna10;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;809
CABA;Comuna10;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;173
CABA;Comuna10;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;157
CABA;Comuna11;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;51777
CABA;Comuna11;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4903
CABA;Comuna11;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4528
CABA;Comuna11;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;28070
CABA;Comuna11;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;16761
CABA;Comuna11;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2182
CABA;Comuna11;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;9718
CABA;Comuna11;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3181
CABA;Comuna11;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2776
CABA;Comuna11;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1624
CABA;Comuna11;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;782
CABA;Comuna11;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;635
CABA;Comuna11;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;768
CABA;Comuna11;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;249
CABA;Comuna11;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;129
CABA;Comuna12;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;61190
CABA;Comuna12;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;5303
CABA;Comuna12;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4657
CABA;Comuna12;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;30182
CABA;Comuna12;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;16027
CABA;Comuna12;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;2139
CABA;Comuna12;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;10295
CABA;Comuna12;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3828
CABA;Comuna12;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2911
CABA;Comuna12;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1642
CABA;Comuna12;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;742
CABA;Comuna12;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;727
CABA;Comuna12;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;733
CABA;Comuna12;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;207
CABA;Comuna12;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;114
CABA;Comuna13;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;82586
CABA;Comuna13;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;6980
CABA;Comuna13;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;6353
CABA;Comuna13;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;23821
CABA;Comuna13;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;12653
CABA;Comuna13;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1690
CABA;Comuna13;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;12092
CABA;Comuna13;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3446
CABA;Comuna13;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2649
CABA;Comuna13;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1118
CABA;Comuna13;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;734
CABA;Comuna13;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;618
